year,resolution_h,reference_eue_gwh,h2_eue_gwh,eue_avoided_gwh,fraction_avoided
2016,3,305.4699973105695,1.4339364324279398,304.0360608781416,0.9953058027136785
2016,6,59.687331814697416,0.0,59.687331814697416,1.0
2017,3,397.1765214667157,0.0,397.1765214667157,1.0
2017,6,99.45171277635625,0.0,99.45171277635625,1.0
2019,3,131.1498824844035,2.532133889855835,128.61774859454766,0.9806928237990838
2019,6,4.710965753687462,0.0,4.710965753687462,1.0
