year,slice,fraction,physical_value,unit,eue_gwh,reference_eue_gwh,eue_avoided_gwh,status
2016,storage,0.0,0.0,TWh H2,355.3394925573003,59.687331814697416,-295.65216074260286,
2016,storage,0.00038455,0.6064272280713472,TWh H2,0.0,59.687331814697416,59.687331814697416,
2016,storage,0.0007691,1.2128544561426944,TWh H2,0.0,59.687331814697416,59.687331814697416,
2016,storage,0.0015382,2.4257089122853888,TWh H2,0.0,59.687331814697416,59.687331814697416,monotonic implication from solved zero-EUE smaller-capacity state
2016,power,0.0,0.0,GW electric,59.687331814697714,59.687331814697416,-2.984279490192421e-13,
2016,power,0.02021,3.6382126886498796,GW electric,1.5467211549721123,59.687331814697416,58.140610659725304,
2016,power,0.06063,10.91463806594964,GW electric,0.0,59.687331814697416,59.687331814697416,
2016,power,0.10105,18.191063443249398,GW electric,0.0,59.687331814697416,59.687331814697416,
2017,storage,0.0,0.0,TWh H2,446.2902989775066,99.45171277635625,-346.83858620115035,
2017,storage,0.00038455,0.6064272280713472,TWh H2,0.0,99.45171277635625,99.45171277635625,
2017,storage,0.0007691,1.2128544561426944,TWh H2,0.0,99.45171277635625,99.45171277635625,
2017,storage,0.0015382,2.4257089122853888,TWh H2,0.0,99.45171277635625,99.45171277635625,monotonic implication from solved zero-EUE smaller-capacity state
2017,power,0.0,0.0,GW electric,99.45171277635647,99.45171277635625,-2.2737367544323206e-13,
2017,power,0.02021,3.6382126886498796,GW electric,7.27202984158488,99.45171277635625,92.17968293477136,
2017,power,0.06063,10.91463806594964,GW electric,0.0,99.45171277635625,99.45171277635625,
2017,power,0.10105,18.191063443249398,GW electric,0.0,99.45171277635625,99.45171277635625,
2019,storage,0.0,0.0,TWh H2,73.58927066889242,4.710965753687462,-68.87830491520496,
2019,storage,0.00038455,0.6064272280713472,TWh H2,0.0,4.710965753687462,4.710965753687462,
2019,storage,0.0007691,1.2128544561426944,TWh H2,0.0,4.710965753687462,4.710965753687462,
2019,storage,0.0015382,2.4257089122853888,TWh H2,0.0,4.710965753687462,4.710965753687462,monotonic implication from solved zero-EUE smaller-capacity state
2019,power,0.0,0.0,GW electric,4.710965753687462,4.710965753687462,0.0,
2019,power,0.02021,3.6382126886498796,GW electric,1.271748092447738,4.710965753687462,3.4392176612397236,
2019,power,0.06063,10.91463806594964,GW electric,0.0,4.710965753687462,4.710965753687462,
2019,power,0.10105,18.191063443249398,GW electric,0.0,4.710965753687462,4.710965753687462,
