scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,W,S,D,system
Electricity only,True,23227712735.465492,1305.9124278947365,0.0,0.0,0,0.0,0.0,0.0,830.2222916007158,453.60307863157897,28.404710600789468,0,0,0,Electricity only
Electricity only,True,23094885365.930485,1293.30746,0.0,0.0,0,0.0,0.0,0.0,820.1970066834152,453.60307863157897,29.591454550657886,0,0,1,Electricity only
Electricity only,True,23181639140.277977,1305.9124278947365,0.0,0.0,0,0.0,0.0,0.0,828.2493757701338,455.2867171052632,28.24034652526315,0,1,0,Electricity only
Electricity only,True,23021156656.746796,1293.30746,0.0,0.0,0,0.0,0.0,0.0,818.4355172461103,455.2867171052632,29.483559835394736,0,1,1,Electricity only
Electricity only,True,26138677979.792656,1305.9124278947365,0.0,0.0,0,0.0,0.0,0.0,846.6459527836843,435.1158235263158,30.773520878552628,1,0,0,Electricity only
Electricity only,True,39169190972.91308,1293.30746,1282.243542499999,1.282243542499999,71,42.06721052631579,0.0,0.0,835.5114070999188,435.1158235263158,29.38651123631579,1,0,1,Electricity only
Electricity only,True,25988816306.32611,1305.9124278947365,0.0,0.0,0,0.0,0.0,0.0,845.3745967851742,436.799462,31.36244649315789,1,1,0,Electricity only
Electricity only,True,37818496642.41333,1293.30746,1159.4320724999989,1.159432072499999,66,42.06699999999999,0.0,0.0,834.1255881621261,436.799462,29.553286775,1,1,1,Electricity only
