year,technology,duration_h,eue_gwh,lole_h,reference_eue_gwh,eue_avoided_gwh
2006,"Battery +15 GW, 24 h",24.0,475.43207249999887,29,1159.4320724999989,684.0
2006,"Battery +15 GW, 4 h",4.0,1045.4320724999989,63,1159.4320724999989,114.0
2006,"Battery +15 GW, 100 h",100.0,0.0,0,1159.4320724999989,1159.4320724999989
2006,Hydrogen 1 TWh + 15 GW,66.66666666666667,633.6993816523532,32,1159.4320724999989,525.7326908476457
2009,"Battery +15 GW, 4 h",4.0,354.92068749999913,25,468.9206874999993,114.00000000000017
2009,"Battery +15 GW, 24 h",24.0,0.0,0,468.9206874999993,468.9206874999993
2009,"Battery +15 GW, 100 h",100.0,0.0,0,468.9206874999993,468.9206874999993
2009,Hydrogen 1 TWh + 15 GW,66.66666666666667,37.000690757616496,2,468.9206874999993,431.9199967423828
2002,"Battery +15 GW, 4 h",4.0,303.12897999999944,24,360.12897999999944,57.0
2002,"Battery +15 GW, 24 h",24.0,18.128979999999522,3,360.12897999999944,341.99999999999994
2002,"Battery +15 GW, 100 h",100.0,0.0,0,360.12897999999944,360.12897999999944
2002,Hydrogen 1 TWh + 15 GW,66.66666666666667,52.665339999999475,3,360.12897999999944,307.46363999999994
