year,system,lookahead_h,commit_h,steps,eue_gwh,lole_h,max_shortfall_gw,fuelcell_output_gwh,electrolysis_gwh,final_h2_inventory_gwh
2000,electricity,72,24,365,343.33071249999966,21,41.59,0.0,0.0,
2000,h2,72,24,365,42.815523610704744,4,23.58099999999999,1087.6705323772126,63579.976091861674,490.2238484210524
2000,electricity,168,24,365,343.33071249999966,19,42.601,0.0,0.0,
2000,h2,168,24,365,0.0,0,0.0,1120.686252144786,63663.349121577725,490.2238484210524
2002,electricity,72,24,365,360.1289799999995,31,35.83199999999999,0.0,0.0,
2002,h2,72,24,365,249.9852504216748,22,35.83199999999999,967.7202933822606,63277.071447934984,490.2238484210524
2002,electricity,168,24,365,360.1289799999995,28,35.831999999999994,0.0,0.0,
2002,h2,168,24,365,52.665339999999574,5,15.531999999999996,1378.034343159281,64313.21803828105,490.2238484210524
2003,electricity,72,24,365,254.5643174999996,17,32.940000000000005,0.0,0.0,
2003,h2,72,24,365,191.4469767926077,12,34.147,513.5202516030345,62130.10164546221,490.2238484210524
2003,electricity,168,24,365,254.56431749999956,17,33.98199999999999,0.0,0.0,
2003,h2,168,24,365,0.0,0,0.0,886.0849607776987,63070.92161812547,490.2238484210524
2006,electricity,72,24,365,1159.4320724999989,72,42.775,0.0,0.0,
2006,h2,72,24,365,1804.7478461696285,109,52.40999999999998,1222.1856586792653,63919.66075424061,490.2238484210524
2006,electricity,168,24,365,1159.4320724999989,70,42.775,0.0,0.0,
2006,h2,168,24,365,678.9879669376716,44,41.33000000000001,2054.763458202827,66022.12994495661,490.2238484210524
2009,electricity,72,24,365,562.54990368421,41,39.644999999999996,0.0,0.0,
2009,h2,72,24,365,773.2305230842095,45,39.644999999999996,1078.0988330132054,63555.805133871705,490.2238484210524
2009,electricity,168,24,365,562.54990368421,41,40.290000000000006,0.0,0.0,
2009,h2,168,24,365,427.3888195526307,32,40.29,880.8095273115374,63057.59981644323,490.2238484210524
2012,electricity,72,24,365,318.7286524999997,15,41.55599999999999,0.0,0.0,
2012,h2,72,24,365,22.468999999999973,2,12.576999999999984,1379.339824506701,64316.51470835027,490.2238484210524
2012,electricity,168,24,365,318.72865249999967,16,41.55599999999999,0.0,0.0,
2012,h2,168,24,365,0.0,0,0.0,2208.9605669365715,66411.51658317313,490.2238484210524
