system,component,shapley_eue_gwh,climatology_eue_gwh,actual_2006_eue_gwh,total_delta_eue_gwh
Electricity only,Wind,600.1846145833327,0.0,1159.4320724999989,1159.4320724999989
Electricity only,Solar,-40.937156666666695,0.0,1159.4320724999989,1159.4320724999989
Electricity only,Demand,600.1846145833327,0.0,1159.4320724999989,1159.4320724999989
H2 + reconversion,Wind,344.0256644255836,0.0,633.6993816523532,633.6993816523532
H2 + reconversion,Solar,-54.35194719881413,0.0,633.6993816523532,633.6993816523532
H2 + reconversion,Demand,344.0256644255836,0.0,633.6993816523532,633.6993816523532
