scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,W,S,D,system
H2 + reconversion,True,27455974567.825188,1305.9124278947365,0.0,0.0,0,0.0,0.0,43.8,881.5763947080555,453.60307863157897,12.116234963786548,60.83333333333333,0.0,1.0,0.0,0,0,0,H2 + reconversion
H2 + reconversion,True,26512545556.858025,1293.30746,0.0,0.0,0,0.0,0.0,43.8,873.3875810000618,453.60307863157897,19.241970874587285,60.833333333333314,0.0,1.0,0.0,0,0,1,H2 + reconversion
H2 + reconversion,True,27379444963.58188,1305.9124278947365,0.0,0.0,0,0.0,0.0,43.8,880.6344017280314,455.2867171052632,12.299807622280703,60.83333333333333,0.0,1.0,0.0,0,1,0,H2 + reconversion
H2 + reconversion,True,26454686087.1705,1293.30746,0.0,0.0,0,0.0,0.0,43.8,871.4443423912498,455.2867171052632,19.114405431741996,60.833333333333314,0.0,1.0,0.0,0,1,1,H2 + reconversion
H2 + reconversion,True,29923668501.3401,1305.9124278947365,0.0,0.0,0,0.0,0.0,43.8,895.833368240035,435.1158235263158,14.84182220130086,60.833333333333314,0.0,1.0,0.0,1,0,0,H2 + reconversion
H2 + reconversion,True,37261945913.55452,1293.30746,796.7552232487956,0.7967552232487956,39,42.06721052631579,0.0,43.8,892.9892151813223,435.1158235263158,21.992923676065104,63.8710321540708,1.2029287330120422,1.0,0.0,1,0,1,H2 + reconversion
H2 + reconversion,True,29731046285.643772,1305.9124278947365,0.0,0.0,0,0.0,0.0,43.8,894.249070947013,436.799462,15.840013017251025,60.833333333333314,0.0,1.0,0.0,1,1,0,H2 + reconversion
H2 + reconversion,True,35469010941.7364,1293.30746,633.6993816523532,0.6336993816523532,32,42.06699999999999,0.0,43.8,892.4603072561767,436.799462,22.66364056807762,64.02759141750921,1.2649262013336586,1.0,0.0,1,1,1,H2 + reconversion
