hoy,battery_soc_r2_gwh_target,battery_soc_r5_gwh_target,battery_soc_r6_gwh_target,climatology_eue_gwh
0,10.8639768698056,78.87945235457073,49.21800110803327,0.0
1,10.8639768698056,78.87945235457073,49.21800110803327,0.0
2,10.8639768698056,78.87945235457073,52.30975110803327,0.0
3,10.8639768698056,78.87945235457073,56.77735110803326,0.0
4,10.8639768698056,81.44730235457072,56.77735110803326,0.0
5,10.8639768698056,81.44730235457072,56.77735110803326,0.0
6,10.8639768698056,81.44730235457072,56.77735110803326,0.0
7,10.8639768698056,81.44730235457072,56.77735110803326,0.0
8,10.8639768698056,81.44730235457072,56.77735110803326,0.0
9,10.8639768698056,81.44730235457072,56.77735110803326,0.0
10,10.8639768698056,81.44730235457072,56.77735110803326,0.0
11,10.8639768698056,81.44730235457072,56.77735110803326,0.0
12,10.8639768698056,81.44730235457072,56.77735110803326,0.0
13,10.8639768698056,81.44730235457072,56.77735110803326,0.0
14,10.8639768698056,81.44730235457072,56.77735110803326,0.0
15,10.8639768698056,74.17899210526326,56.77735110803326,0.0
16,10.8639768698056,74.17899210526326,56.77735110803326,0.0
17,10.8639768698056,74.17899210526326,56.77735110803326,0.0
18,10.8639768698056,53.12636052631589,50.94926246537398,0.0
19,10.8639768698056,53.12636052631589,50.94926246537398,0.0
20,10.8639768698056,53.12636052631589,50.94926246537398,0.0
21,10.8639768698056,53.12636052631589,50.94926246537398,0.0
22,10.8639768698056,53.12636052631589,50.94926246537398,0.0
23,10.8639768698056,53.12636052631589,50.94926246537398,0.0
24,10.8639768698056,54.31306052631589,50.94926246537398,0.0
25,10.8639768698056,59.58586052631588,50.94926246537398,0.0
26,20.5344268698056,59.58586052631588,50.94926246537398,0.0
27,20.5344268698056,70.26971052631586,50.94926246537398,0.0
28,20.5344268698056,70.26971052631586,58.948462465373986,0.0
29,20.5344268698056,70.26971052631586,58.948462465373986,0.0
30,20.5344268698056,70.26971052631586,58.948462465373986,0.0
31,20.5344268698056,70.26971052631586,58.948462465373986,0.0
32,20.5344268698056,70.26971052631586,58.948462465373986,0.0
33,20.5344268698056,70.26971052631586,58.948462465373986,0.0
34,20.5344268698056,70.26971052631586,58.948462465373986,0.0
35,20.5344268698056,70.26971052631586,58.948462465373986,0.0
36,20.5344268698056,70.26971052631586,58.948462465373986,0.0
37,20.5344268698056,70.26971052631586,58.948462465373986,0.0
38,20.5344268698056,70.26971052631586,58.948462465373986,0.0
39,20.5344268698056,70.26971052631586,58.948462465373986,0.0
40,20.5344268698056,70.26971052631586,58.948462465373986,0.0
41,20.5344268698056,67.85813157894744,58.948462465373986,0.0
42,20.5344268698056,67.85813157894744,58.948462465373986,0.0
43,20.5344268698056,67.85813157894744,58.948462465373986,0.0
44,20.5344268698056,67.85813157894744,58.948462465373986,0.0
45,20.5344268698056,67.85813157894744,58.948462465373986,0.0
46,20.5344268698056,67.85813157894744,58.948462465373986,0.0
47,20.5344268698056,67.85813157894744,58.948462465373986,0.0
48,20.5344268698056,67.85813157894744,58.948462465373986,0.0
49,20.5344268698056,71.03033157894741,58.948462465373986,0.0
50,28.094276869805586,71.03033157894741,58.948462465373986,0.0
51,28.094276869805586,80.05718157894741,58.948462465373986,0.0
52,34.76267686980556,80.05718157894741,58.948462465373986,0.0
53,34.76267686980556,80.05718157894741,58.948462465373986,0.0
54,34.76267686980556,80.05718157894741,58.948462465373986,0.0
55,34.76267686980556,80.05718157894741,58.948462465373986,0.0
56,34.76267686980556,80.05718157894741,58.948462465373986,0.0
57,30.137247506924666,59.004550000000044,58.948462465373986,0.0
58,30.137247506924666,59.004550000000044,58.948462465373986,0.0
59,30.137247506924666,59.004550000000044,58.948462465373986,0.0
60,30.137247506924666,59.004550000000044,58.948462465373986,0.0
61,30.137247506924666,59.004550000000044,58.948462465373986,0.0
62,30.137247506924666,59.004550000000044,58.948462465373986,0.0
63,30.137247506924666,59.004550000000044,58.948462465373986,0.0
64,30.137247506924666,59.004550000000044,58.948462465373986,0.0
65,30.137247506924666,59.004550000000044,58.948462465373986,0.0
