target,predictor,n,spearman_rho,spearman_p,pearson_r,pearson_p,slope,intercept,r_squared
minimum_tested_storage_zero_shortage_twh,annual_scarcity_energy_gwh,12,0.886968593983624,0.00011984642397657717,0.7541902828495304,0.004597485369552645,0.001369816470198652,0.7376696623231922,0.5688029827446551
minimum_tested_storage_zero_shortage_twh,annual_shortage_duration_h,12,0.8885233166386386,0.00011213080286726991,0.8060610571244906,0.001544481328579739,0.026605504587155965,0.5990825688073396,0.649734427812651
minimum_tested_storage_zero_shortage_twh,renewable_drought_duration_h,12,0.4115777282787473,0.1837442773142822,0.4495611895592133,0.14257364163929478,0.16,-1.6333333333333335,0.2021052631578948
reconversion_saturation_grid_gw,peak_shortfall_gw,12,0.7526178090063818,0.004732742918026871,0.8274417356252326,0.0008948723187079543,0.25229030595686525,-0.95004331418194,0.6846598258544974
reconversion_saturation_grid_gw,annual_scarcity_energy_gwh,12,0.7526178090063818,0.004732742918026871,0.5003796009191518,0.09755933485154163,0.0045964483221815995,6.060491420759794,0.2503797450160096
