period,n_years,mean_eue_gwh,median_eue_gwh,p95_eue_gwh,mean_lole_h,median_lole_h,max_eue_gwh,max_lole_h
Calibration 1980–1998,19,356.196741447368,129.95791999999943,1304.0319814999968,19.210526315789473,11.0,2302.011732499999,101
Held-out test 1999–2017,19,197.79691828947335,109.7629324999992,537.9718259999978,13.473684210526315,9.0,1159.4320724999989,66
