scenario,n,mean_eue_gwh,median_eue_gwh,p95_eue_gwh,mean_lole_h,median_lole_h,max_eue_gwh,mean_eue_avoided_gwh,ci95_low_gwh,ci95_high_gwh,improved_years,worse_years,neutral_years,wilcoxon_one_sided_p
Battery expansion,19,39.822127236842,0.0,126.55928924999843,2.4210526315789473,0.0,589.432072499999,157.9747910526314,87.13217123355247,237.54707012499952,12,0,7,0.0003952260311912759
Demand response 5%,19,3.2534568421052317,0.0,6.1815679999998085,0.2631578947368421,0.0,61.8156799999994,194.54346144736814,93.17814193421027,324.00594253947327,12,0,7,0.0003952260311912759
Electricity only,19,197.79691828947335,109.7629324999992,537.9718259999978,13.473684210526315,9.0,1159.4320724999989,0.0,0.0,0.0,0,0,19,
Firm capacity +5 GW,19,39.19196434210532,0.0,175.10645824999952,2.8947368421052633,0.0,437.30382500000064,158.60495394736805,81.87235000328928,249.42521604276254,12,0,7,0.0003952260311912759
H2 + reconversion,19,38.07186381105101,0.0,110.76874416523361,1.9473684210526316,0.0,633.6993816523532,159.72505447842232,88.77066730045726,236.09964736710884,12,0,7,0.0003952260311912759
Transmission +20%,19,197.7969182894736,109.76293249999972,537.9718259999983,13.473684210526315,9.0,1159.4320724999998,-1.9932593587375443e-13,-3.160045324827814e-13,-1.0022392272826676e-13,0,0,19,
