scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,year,h2_storage_gwh,fuelcell_total_gw
S1000_P3,True,26006080733.725807,1292.7327200000002,0.0,0.0,0,0.0,0.0,43.8,860.9067335941329,466.67730700000004,21.97488277278149,64.49246919099618,1.4490177996344882,1.0,0.0,1999,1000.0,3.0
S1000_P9,True,25993217717.51244,1292.7327200000002,0.0,0.0,0,0.0,0.0,43.8,860.94978347726,466.67730700000004,22.041293234606822,64.86560722618,1.5967804615672876,1.0,0.0,1999,1000.0,9.0
S1000_P3,True,27877614733.075787,1286.55522,224.42865999999967,0.22442865999999967,17,38.59,0.0,43.8,857.8017675119138,459.111554,22.36055516927778,61.92869165040991,0.43376189356232714,1.0,0.0,2000,1000.0,3.0
S1000_P9,True,25684839956.88541,1286.55522,0.0,0.0,0,0.0,0.0,43.8,858.5994664793764,459.111554,22.66183855177778,62.92709079666245,0.8291279554783385,1.0,0.0,2000,1000.0,9.0
S1000_P3,True,29274892656.70793,1301.46916,0.0,0.0,0,0.0,0.0,43.8,890.5765397932695,442.11599800000005,19.51558259194444,61.727975007286915,0.354278102885623,1.0,0.0,2001,1000.0,3.0
S1000_P9,True,29274213314.93104,1301.46916,0.0,0.0,0,0.0,0.0,43.8,890.6939181918327,442.11599800000005,19.50131108944444,61.845353405850105,0.4007599487166479,1.0,0.0,2001,1000.0,9.0
S1000_P3,True,28288433414.48646,1283.6579199999999,106.83536249999958,0.10683536249999957,8,32.831999999999994,0.0,43.8,870.3348871912478,446.85279499999996,17.821165248990127,63.34740873150639,0.9955738576765373,1.0,0.0,2002,1000.0,3.0
S1000_P9,True,27748977459.265244,1283.6579199999999,52.665339999999624,0.05266533999999962,3,30.09400000000001,0.0,43.8,871.3631896053801,446.85279499999996,17.715377269166666,64.53055495081513,1.4640997605227979,1.0,0.0,2002,1000.0,9.0
S1000_P3,True,30468259198.024048,1302.8673399999998,5.510804999999607,0.005510804999999607,1,5.510804999999607,0.0,43.8,905.7850964526508,426.512185,17.718400932080556,62.743556429013104,0.7564483458891971,1.0,0.0,2003,1000.0,3.0
S1000_P9,True,30410907259.600346,1302.8673399999998,0.0,0.0,0,0.0,0.0,43.8,905.7952609913026,426.512185,17.535159922080556,62.753720967664854,0.7604735031952907,1.0,0.0,2003,1000.0,9.0
S1000_P3,True,29222537469.815605,1298.10004,0.0,0.0,0,0.0,0.0,43.8,887.1098721136502,443.635457,16.247612204522913,62.317287504485,0.5876458517760657,1.0,0.0,2004,1000.0,3.0
S1000_P9,True,29215690162.896473,1298.10004,0.0,0.0,0,0.0,0.0,43.8,887.5872390868657,443.635457,16.204993807022912,62.916052656000154,0.8247568517760667,1.0,0.0,2004,1000.0,9.0
S1000_P3,True,28017366903.860134,1299.69079,0.0,0.0,0,0.0,0.0,43.8,885.3004018375171,446.189107,22.666525116777777,61.86946731870189,0.4103090582059559,1.0,0.0,2005,1000.0,3.0
S1000_P9,True,28014601825.706234,1299.69079,0.0,0.0,0,0.0,0.0,43.8,885.2202889100171,446.189107,22.624547875577775,61.86946731870189,0.4103090582059574,1.0,0.0,2005,1000.0,9.0
S1000_P3,True,36290890671.47269,1293.30746,717.6415499999989,0.717641549999999,42,39.06699999999999,0.0,43.8,892.3152441554362,436.799462,22.77955091759762,63.84392300627779,1.1921935104860109,1.0,0.0,2006,1000.0,3.0
S1000_P9,True,35469010941.73644,1293.30746,633.6993816523534,0.6336993816523534,32,42.06699999999999,0.0,43.8,892.4603072561767,436.799462,22.66364056807762,64.02759141750921,1.264926201333658,1.0,0.0,2006,1000.0,9.0
S1000_P3,True,26360398783.157585,1283.1266,0.0,0.0,0,0.0,0.0,43.8,864.0719914426065,458.251473,20.81372372842237,65.49831996681559,1.8473347068589747,1.0,0.0,2007,1000.0,3.0
S1000_P9,True,26333182679.980694,1283.1266,0.0,0.0,0,0.0,0.0,43.8,865.4578911933515,458.251473,20.574435251730215,67.37810084878974,2.5917279361207486,1.0,0.0,2007,1000.0,9.0
S1000_P3,True,28192055767.692005,1297.59356,68.7622224999998,0.06876222249999979,6,24.502999999999993,0.0,43.8,872.891554597136,458.10164999999995,20.540852725731778,62.7061901079178,0.7416512827354561,1.0,0.0,2008,1000.0,3.0
S1000_P9,True,27515174080.322544,1297.59356,0.0,0.0,0,0.0,0.0,43.8,873.9557644541959,458.10164999999995,20.419410004588002,63.81106109530203,1.179180193739612,1.0,0.0,2008,1000.0,9.0
S1000_P3,True,30426158671.931572,1296.7522900000001,142.64570999999944,0.14264570999999943,9,26.961,0.0,43.8,888.201182830984,444.65390800000006,20.512704732222222,63.93577318218122,1.2285661801437655,1.0,0.0,2009,1000.0,3.0
S1000_P9,True,29391632475.562172,1296.7522900000001,37.00069075761692,0.03700069075761692,2,29.961,0.0,43.8,888.6032838402894,444.65390800000006,20.32075132222222,64.39151937220122,1.4090416713916898,1.0,0.0,2009,1000.0,9.0
S1000_P3,True,34832396780.4323,1328.14114,31.993787499999755,0.03199378749999975,3,22.13899999999999,0.0,43.8,946.2906742346655,409.17150200000003,18.367221995498394,62.55454444228292,0.6815995991440438,1.0,0.0,2010,1000.0,3.0
S1000_P9,True,34514386630.46054,1328.14114,0.0,0.0,0,0.0,0.0,43.8,947.140474470918,409.17150200000003,18.541619772714316,63.45059613257574,1.0364360684999996,1.0,0.0,2010,1000.0,9.0
S1000_P3,True,27035966867.729645,1276.53025,0.0,0.0,0,0.0,0.0,43.8,867.1708957802026,446.172403,20.17642268614275,63.59313462560925,1.0928813117412741,1.0,0.0,2011,1000.0,3.0
S1000_P9,True,27023630022.883366,1276.53025,0.0,0.0,0,0.0,0.0,43.8,867.9749409024143,446.172403,20.103961376376056,64.60409979052713,1.4932235170487538,1.0,0.0,2011,1000.0,9.0
S1000_P3,True,31180853662.033318,1300.32895,200.9587599999997,0.2009587599999997,12,38.55599999999999,0.0,43.8,894.5263569676792,439.198291,19.984506674922276,63.70757777518606,1.1382007989736835,1.0,0.0,2012,1000.0,3.0
S1000_P9,True,29202570960.518055,1300.32895,0.0,0.0,0,0.0,0.0,43.8,896.4473346057246,439.198291,20.02096091776625,66.01697195770355,2.05272089525061,1.0,0.0,2012,1000.0,9.0
S1000_P3,True,29128657562.935616,1312.21553,0.0,0.0,0,0.0,0.0,43.8,891.9613191300141,449.86852600000003,21.048124128100184,62.15345689131934,0.522768928962466,1.0,0.0,2013,1000.0,3.0
S1000_P9,True,29127994879.708878,1312.21553,0.0,0.0,0,0.0,0.0,43.8,891.9473707197167,449.86852600000003,21.009557335600185,62.15092166352198,0.5217649787547104,1.0,0.0,2013,1000.0,9.0
S1000_P3,True,26140418360.17858,1272.3780499999998,0.0,0.0,0,0.0,0.0,43.8,861.2155897489826,438.111914,19.373041812858506,61.07575757575756,0.096,1.0,0.0,2014,1000.0,3.0
S1000_P9,True,26138486942.267033,1272.3780499999998,0.0,0.0,0,0.0,0.0,43.8,861.5846409885248,438.111914,19.351905812858508,61.44480881529978,0.24214429085872588,1.0,0.0,2014,1000.0,9.0
S1000_P3,True,26377167026.187515,1288.62121,0.0,0.0,0,0.0,0.0,43.8,864.7041489125468,460.059693,20.876980717290277,63.445493036058075,1.0344152422790034,1.0,0.0,2015,1000.0,3.0
S1000_P9,True,26360463376.543617,1288.62121,0.0,0.0,0,0.0,0.0,43.8,865.9544624515848,460.059693,20.923147183299974,64.96190137851022,1.6349129458900569,1.0,0.0,2015,1000.0,9.0
S1000_P3,True,30282682316.482918,1292.8108399999999,0.0,0.0,0,0.0,0.0,43.8,901.5475415743317,419.60767100000004,17.48242573170172,61.638827309675264,0.3189756146314125,1.0,0.0,2016,1000.0,3.0
S1000_P9,True,30282355333.237034,1292.8108399999999,0.0,0.0,0,0.0,0.0,43.8,901.5944811892306,419.60767100000004,17.47029883920172,61.68576692457426,0.3375637021314128,1.0,0.0,2016,1000.0,9.0
S1000_P3,True,28569089412.058968,1289.24469,82.1259199999995,0.08212591999999949,8,23.800000000000004,0.0,43.8,874.593146149806,447.537844,19.83299495004435,63.193556914168475,0.934648538010721,1.0,0.0,2017,1000.0,3.0
S1000_P9,True,27757372228.688225,1289.24469,0.0,0.0,0,0.0,0.0,43.8,875.396354453716,447.537844,19.777591226812024,64.21250606335423,1.3381524010882828,1.0,0.0,2017,1000.0,9.0
