lookahead_h,n_years,improved_years,worse_years,mean_eue_avoided_gwh,sum_eue_avoided_gwh,annual_pf_sum_eue_avoided_gwh,aggregate_benefit_retention_fraction
72,6,4,2,-14.326746899102972,-85.96048139461783,2181.740010090027,-0.039399965622425724
168,6,6,0,306.61541869898423,1839.6925121939055,2181.740010090027,0.8432226129996088
