scenario,n,mean_eue_gwh,median_eue_gwh,p95_eue_gwh,mean_lole_h,median_lole_h,max_eue_gwh,mean_eue_avoided_gwh,ci95_low_gwh,ci95_high_gwh,improved_years,worse_years,neutral_years,wilcoxon_one_sided_p
Electricity only,19,197.79691828947335,109.7629324999992,537.9718259999978,13.473684210526315,9.0,1159.4320724999989,0.0,0.0,0.0,0,0,19,
H2 + reconversion,19,38.07186381105101,0.0,110.76874416523361,1.9473684210526316,0.0,633.6993816523532,159.72505447842232,87.77681590919026,235.950959901077,12,0,7,0.0003952260311912759
H2 flexible production,19,197.79691828947335,109.76293249999928,537.9718259999977,12.473684210526315,9.0,1159.432072499999,-9.723216384085582e-15,-4.300653400653238e-14,1.982040262909753e-14,0,0,19,
H2 rigid load,19,709.7495914035078,624.4052222222218,1692.9785474166624,40.63157894736842,31.0,2632.151744166664,-511.9526731140343,-693.3125570350867,-342.4375307638886,0,17,2,0.9999172100836787
