hoy,battery_soc_r2_gwh_target,battery_soc_r5_gwh_target,battery_soc_r6_gwh_target,h2_inventory_gwh_target,climatology_eue_gwh
0,45.96349030470913,58.61324099722991,35.72132963988911,495.0389263157892,0.0
1,45.96349030470913,58.61324099722991,35.72132963988911,490.0389263157892,0.0
2,45.96349030470913,58.61324099722991,35.72132963988911,487.38214736842076,0.0
3,45.96349030470913,58.61324099722991,35.72132963988911,503.7681178947366,0.0
4,45.96349030470913,58.61324099722991,35.72132963988911,500.71427789473654,0.0
5,45.96349030470913,58.61324099722991,35.72132963988911,495.71427789473654,0.0
6,45.96349030470913,58.61324099722991,35.72132963988911,490.71427789473654,0.0
7,45.96349030470913,58.61324099722991,35.72132963988911,485.71427789473654,0.0
8,45.96349030470913,58.61324099722991,35.72132963988911,490.1466947368418,0.0
9,45.96349030470913,58.61324099722991,35.72132963988911,485.1466947368418,0.0
10,45.96349030470913,58.61324099722991,35.72132963988911,480.1466947368418,0.0
11,45.96349030470913,58.61324099722991,35.72132963988911,492.2147873684208,0.0
12,45.96349030470913,58.61324099722991,35.72132963988911,487.2147873684208,0.0
13,45.96349030470913,58.61324099722991,35.72132963988911,482.2147873684208,0.0
14,45.96349030470913,58.61324099722991,35.72132963988911,494.94728842105235,0.0
15,45.96349030470913,58.61324099722991,35.72132963988911,489.94728842105235,0.0
16,45.96349030470913,58.61324099722991,35.72132963988911,484.94728842105235,0.0
17,45.96349030470913,58.61324099722991,35.72132963988911,479.94728842105235,0.0
18,45.96349030470913,58.04831024930747,35.72132963988911,474.94728842105235,0.0
19,45.96349030470913,58.04831024930747,35.72132963988911,469.94728842105235,0.0
20,45.96349030470913,58.04831024930747,35.72132963988911,464.94728842105235,0.0
21,45.96349030470913,58.04831024930747,35.72132963988911,462.99573052631547,0.0
22,45.96349030470913,58.04831024930747,35.72132963988911,457.99573052631547,0.0
23,45.96349030470913,58.04831024930747,35.72132963988911,463.80990315789444,0.0
24,45.96349030470913,58.04831024930747,35.72132963988911,459.70929684210495,0.0
25,45.96349030470913,58.04831024930747,35.72132963988911,476.30929684210497,0.0
26,45.96349030470913,58.04831024930747,35.72132963988911,478.6384799999997,0.0
27,45.96349030470913,58.04831024930747,35.72132963988911,481.73571368421017,0.0
28,45.96349030470913,58.04831024930747,35.72132963988911,482.79826526315753,0.0
29,45.96349030470913,58.04831024930747,35.72132963988911,477.79826526315753,0.0
30,45.96349030470913,58.04831024930747,35.72132963988911,479.58858526315754,0.0
31,45.96349030470913,58.04831024930747,35.72132963988911,474.58858526315754,0.0
32,45.96349030470913,58.04831024930747,35.72132963988911,469.58858526315754,0.0
33,45.96349030470913,58.04831024930747,35.72132963988911,464.58858526315754,0.0
34,45.96349030470913,58.04831024930747,35.72132963988911,475.481031578947,0.0
35,45.96349030470913,58.04831024930747,35.72132963988911,470.481031578947,0.0
36,45.96349030470913,58.04831024930747,35.72132963988911,465.481031578947,0.0
37,45.96349030470913,58.04831024930747,35.72132963988911,460.481031578947,0.0
38,45.96349030470913,58.04831024930747,35.72132963988911,455.481031578947,0.0
39,45.96349030470913,58.04831024930747,35.72132963988911,463.7210357894733,0.0
40,45.96349030470913,58.04831024930747,35.72132963988911,458.7210357894733,0.0
41,45.96349030470913,58.04831024930747,35.72132963988911,453.7210357894733,0.0
42,45.96349030470913,58.04831024930747,35.72132963988911,448.7210357894733,0.0
43,45.96349030470913,58.04831024930747,35.72132963988911,450.1467326315786,0.0
44,45.96349030470913,58.04831024930747,35.72132963988911,454.4883157894733,0.0
45,45.96349030470913,58.04831024930747,35.72132963988911,465.71419789473646,0.0
46,45.96349030470913,58.04831024930747,35.72132963988911,460.71419789473646,0.0
47,45.96349030470913,58.04831024930747,35.72132963988911,455.71419789473646,0.0
