year,lookahead_h,rolling_baseline_eue_gwh,rolling_h2_eue_gwh,rolling_eue_avoided_gwh,annual_pf_eue_avoided_gwh,benefit_retention_fraction
2000,72,343.33071249999966,42.81552361070474,300.5151888892949,343.33071249999966,0.875293639479734
2002,72,360.1289799999995,249.9852504216748,110.1437295783247,307.46363999999994,0.35823334940783474
2003,72,254.5643174999996,191.4469767926077,63.11734070739189,254.5643174999996,0.2479426076963516
2006,72,1159.4320724999989,1804.7478461696285,-645.3157736696296,525.7326908476457,-1.2274598572692494
2009,72,562.54990368421,773.2305230842095,-210.6806193999995,431.9199967423828,-0.4877769517248335
2012,72,318.7286524999997,22.468999999999973,296.25965249999973,318.72865249999967,0.9295042983310076
2000,168,343.33071249999966,0.0,343.33071249999966,343.33071249999966,1.0
2002,168,360.1289799999995,52.66533999999957,307.46363999999994,307.46363999999994,1.0
2003,168,254.5643174999996,0.0,254.5643174999996,254.5643174999996,1.0
2006,168,1159.4320724999989,678.9879669376716,480.4441055623273,525.7326908476457,0.9138562503840135
2009,168,562.54990368421,427.3888195526307,135.1610841315793,431.9199967423828,0.3129308324481111
2012,168,318.72865249999967,0.0,318.72865249999967,318.72865249999967,1.0
