slice,value,mean_eue_gwh,mean_eue_avoided_gwh,ci95_low_gwh,ci95_high_gwh,improved_years,worse_years,neutral_years,zero_shortage_years
storage,0.0,709.7495914035078,-511.9526731140343,-697.6213791531425,-342.7593752967832,0,17,2,2
storage,0.5,162.2316463014284,35.56527198804496,5.7497750445397395,67.37998708881855,9,3,7,9
storage,1.0,38.07186381105101,159.72505447842232,87.77681590919026,235.950959901077,12,0,7,16
storage,2.0,0.0,197.79691828947335,92.21531113815766,335.3069406809204,12,0,7,19
power,0.0,197.79691828947335,-9.723216384085582e-15,-4.338050386745875e-14,1.982040262909753e-14,0,0,19,7
power,3.0,83.20540934210504,114.59150894736831,61.74164526315787,173.82431487499989,12,0,7,10
power,9.0,38.07186381105105,159.72505447842232,88.78765796710512,235.72824451514973,12,0,7,16
power,15.0,38.07186381105101,159.72505447842232,88.48654771939773,236.14488274215077,12,0,7,16
