year,scenario,eue_gwh,lole_h,max_shortfall_gw,resolution_h,annual_load_twh
2016,reference,448.2716898427933,108,8.486900001239533,6,3138.353180775
2016,h2_rigid,719.6819540095154,156,10.340630007720685,6,3138.353180775
2016,h2_flexible,448.2716898427934,114,8.486900001239535,6,3138.353180775
2016,h2_central,287.5004478402595,60,8.486900001239535,6,3138.353180775
2017,reference,0.0,0,0.0,6,3138.353180775
2017,h2_rigid,20.54275334767144,18,1.5508610341142508,6,3138.353180775
2017,h2_flexible,0.0,0,0.0,6,3138.353180775
2017,h2_central,0.0,0,0.0,6,3138.353180775
2018,reference,0.0,0,0.0,6,3138.353180775
2018,h2_rigid,5.084677036626546,6,0.8474461727710911,6,3138.353180775
2018,h2_flexible,0.0,0,0.0,6,3138.353180775
2018,h2_central,0.0,0,0.0,6,3138.353180775
